"","all","site_name","subsite","year","treatment","plot","doy","OTC_period"
"104","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","8",173,"YR"
"105","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","9",173,"YR"
"106","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","10",170,"YR"
"107","ALEXFIORD_ALEXFIORD.DOMEDOLOMITE.GH_2008_OTC","ALEXFIORD","ALEXFIORD.DOMEDOLOMITE.GH",2008,"OTC","11",173,"YR"
"108","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","1",173,"YR"
"109","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","2",173,"YR"
"110","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","3",173,"YR"
"111","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","4",173,"YR"
"112","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","5",170,"YR"
"113","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","6",170,"YR"
"114","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","7",170,"YR"
"115","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","8",170,"YR"
"116","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","9",170,"YR"
"117","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2003_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2003,"CTL","10",170,"YR"
"118","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","1",177,"YR"
"119","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","2",178,"YR"
"120","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","3",173,"YR"
"121","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","4",173,"YR"
"122","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","5",173,"YR"
"123","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","6",176,"YR"
"124","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","7",171,"YR"
"125","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","8",172,"YR"
"126","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","9",171,"YR"
"127","ALEXFIORD_ALEXFIORD.DOMEGRANITE.GH_2007_CTL","ALEXFIORD","ALEXFIORD.DOMEGRANITE.GH",2007,"CTL","10",169,"YR"
