Site:Year,Estimate_days,Error_days,CI_lower_days,CI_upper_days,Phenology ,n_obs
Atqasuk_2017,0.820652,0.437393,-0.05957,1.721554,Leaf Senescence,531
Atqasuk_2018,-0.70685,0.590011,-1.9588,0.410614,Green up,150
Atqasuk_2018,-2.55443,0.694942,-4.03512,-1.30374,Flowering,419
Atqasuk_2018,-1.91195,0.661231,-3.22568,-0.60856,End of Flowering,396
Atqasuk_2018,-2.93147,1.95497,-7.12802,0.800447,Fruiting,378
Atqasuk_2018,-3.10102,1.60051,-6.36677,-0.04532,Seed Dispersal,73
Atqasuk_2018,0.561697,0.509704,-0.5463,1.491429,Leaf Senescence,511
Atqasuk_2019,-0.72061,0.543526,-1.8866,0.295377,Green up,159
Atqasuk_2019,-2.4113,0.654637,-3.77382,-1.18669,Flowering,377
Atqasuk_2019,-1.99068,0.629449,-3.28078,-0.75556,End of Flowering,397
Atqasuk_2019,-2.40785,1.909546,-6.39361,1.265848,Fruiting,332
Atqasuk_2019,-2.80605,1.512533,-5.80592,0.183368,Seed Dispersal,261
Atqasuk_2019,0.950987,0.492144,0.018359,2.003689,Leaf Senescence,589
Utqiagvik_1994,-0.72037,0.660958,-2.14714,0.543474,Green up,207
Utqiagvik_1994,-2.54773,0.689256,-4.01412,-1.27515,Flowering,279
Utqiagvik_1994,-1.95571,0.646135,-3.25595,-0.6791,End of Flowering,123
Utqiagvik_1994,-2.77578,1.936896,-6.93222,0.877838,Fruiting,27
Utqiagvik_1995,-0.6944,0.536885,-1.85828,0.296762,Green up,983
Utqiagvik_1995,-2.45543,0.653418,-3.81325,-1.25356,Flowering,598
Utqiagvik_1995,-1.9702,0.621227,-3.24512,-0.74713,End of Flowering,170
Utqiagvik_1995,-2.60393,1.914168,-6.62539,1.056415,Fruiting,90
Utqiagvik_1996,-0.76066,0.587578,-2.04328,0.3283,Green up,982
Utqiagvik_1996,-2.44456,0.677556,-3.86349,-1.17718,Flowering,642
Utqiagvik_1996,-2.05318,0.653285,-3.4262,-0.79242,End of Flowering,343
Utqiagvik_1996,-2.07157,1.983311,-6.16901,1.672076,Fruiting,66
Utqiagvik_1996,0.779401,0.447908,-0.12192,1.661924,Leaf Senescence,17
Utqiagvik_1997,-0.73305,0.527696,-1.88868,0.236921,Green up,1177
Utqiagvik_1997,-2.43514,0.645363,-3.78475,-1.24683,Flowering,808
Utqiagvik_1997,-2.00257,0.615009,-3.25642,-0.78259,End of Flowering,600
Utqiagvik_1997,-2.65624,1.913986,-6.73614,0.915377,Fruiting,240
Utqiagvik_1997,0.567927,0.527814,-0.5766,1.521689,Leaf Senescence,214
Utqiagvik_1998,-0.77404,0.541863,-1.97773,0.214999,Green up,1206
Utqiagvik_1998,-2.37939,0.65488,-3.72493,-1.15003,Flowering,762
Utqiagvik_1998,-1.99759,0.625108,-3.29232,-0.76354,End of Flowering,577
Utqiagvik_1998,-2.4983,1.905053,-6.55182,1.091583,Fruiting,307
Utqiagvik_1998,-2.81334,1.507856,-5.82706,0.220081,Seed Dispersal,82
Utqiagvik_1998,0.66096,0.454033,-0.3,1.514234,Leaf Senescence,460
Utqiagvik_1999,-0.7293,0.563495,-1.96177,0.299877,Green up,973
Utqiagvik_1999,-2.42577,0.651332,-3.75977,-1.20633,Flowering,788
Utqiagvik_1999,-1.977,0.616374,-3.21088,-0.77134,End of Flowering,602
Utqiagvik_1999,-2.80391,1.922155,-6.87964,0.850563,Fruiting,407
Utqiagvik_1999,-2.98026,1.514554,-6.06066,-0.01675,Seed Dispersal,45
Utqiagvik_1999,0.796922,0.445082,-0.09227,1.677083,Leaf Senescence,79
Utqiagvik_2000,-0.71079,0.529526,-1.8772,0.245987,Green up,1113
Utqiagvik_2000,-2.4547,0.649371,-3.82027,-1.24331,Flowering,808
Utqiagvik_2000,-2.00112,0.62461,-3.30222,-0.77771,End of Flowering,605
Utqiagvik_2000,-2.6084,1.907803,-6.63981,1.033171,Fruiting,465
Utqiagvik_2000,-2.98269,1.507199,-6.1054,-0.07568,Seed Dispersal,99
Utqiagvik_2000,0.815641,0.434559,-0.05994,1.694924,Leaf Senescence,686
Utqiagvik_2001,-0.71778,0.53232,-1.86402,0.257214,Green up,210
Utqiagvik_2001,-2.50857,0.66038,-3.92417,-1.29528,Flowering,96
Utqiagvik_2001,-1.95451,0.631714,-3.23764,-0.71448,End of Flowering,39
Utqiagvik_2001,-2.81702,1.945207,-6.95115,0.83505,Fruiting,9
Utqiagvik_2007,-0.7294,0.539469,-1.90744,0.259706,Green up,400
Utqiagvik_2007,-2.45078,0.651391,-3.80436,-1.25426,Flowering,727
Utqiagvik_2007,-1.99239,0.621039,-3.24918,-0.75708,End of Flowering,658
Utqiagvik_2007,-2.35802,1.907938,-6.36573,1.240046,Fruiting,444
Utqiagvik_2007,-2.81308,1.503292,-5.78387,0.155369,Seed Dispersal,139
Utqiagvik_2007,0.894836,0.47637,-0.03213,1.887401,Leaf Senescence,408
Utqiagvik_2008,-0.74223,0.534617,-1.91181,0.229346,Green up,1074
Utqiagvik_2008,-2.44817,0.65105,-3.81665,-1.23562,Flowering,760
